DATE,INDPRO
2006-12-01,100.1122
2007-01-01,99.7571
2007-02-01,100.7275
2007-03-01,100.9023
2007-04-01,101.5874
2007-05-01,101.6299
2007-06-01,101.6482
2007-07-01,101.4925
2007-08-01,101.6874
2007-09-01,101.9398
2007-10-01,101.6345
2007-11-01,102.2068
2007-12-01,102.2604
2008-01-01,102.1400
2008-02-01,101.7671
2008-03-01,101.4355
2008-04-01,100.7424
2008-05-01,100.1320
2008-06-01,99.8651
2008-07-01,99.4214
2008-08-01,97.8448
2008-09-01,93.5590
2008-10-01,94.4956
2008-11-01,93.2689
2008-12-01,90.6280
2009-01-01,88.3811
2009-02-01,87.8412
2009-03-01,86.4794
2009-04-01,85.7883
2009-05-01,84.9516
2009-06-01,84.6928
2009-07-01,85.7044
2009-08-01,86.6617
2009-09-01,87.4033
2009-10-01,87.6035
2009-11-01,87.9559
2009-12-01,88.2468
2010-01-01,89.1911
2010-02-01,89.4972
2010-03-01,90.1419
2010-04-01,90.4591
2010-05-01,91.7020
2010-06-01,91.8997
2010-07-01,92.2522
2010-08-01,92.5899
2010-09-01,92.8564
2010-10-01,92.6037
2010-11-01,92.6773
2010-12-01,93.5851
2011-01-01,93.3944
2011-02-01,92.9930
2011-03-01,93.9820
2011-04-01,93.6525
2011-05-01,93.7775
2011-06-01,94.0467
2011-07-01,94.4931
2011-08-01,95.0969
2011-09-01,95.0281
2011-10-01,95.6924
2011-11-01,95.6913
2011-12-01,96.1938
2012-01-01,96.7790
2012-02-01,97.0959
2012-03-01,96.5919
2012-04-01,97.2942
2012-05-01,97.4853
2012-06-01,97.4959
2012-07-01,97.6922
2012-08-01,97.3061
2012-09-01,97.2383
2012-10-01,97.5425
2012-11-01,97.9340
2012-12-01,98.1984
2013-01-01,98.2029
2013-02-01,98.6733
2013-03-01,99.0788
2013-04-01,98.9658
2013-05-01,99.0567
2013-06-01,99.2424
2013-07-01,98.9258
2013-08-01,99.5059
2013-09-01,100.0391
2013-10-01,99.9203
2013-11-01,100.1661
2013-12-01,100.3777
2014-01-01,99.9990
2014-02-01,100.7583
2014-03-01,101.7767
2014-04-01,101.8425
2014-05-01,102.2594
2014-06-01,102.5986
2014-07-01,102.8163
2014-08-01,102.6562
2014-09-01,102.9776
2014-10-01,102.9892
2014-11-01,103.6402
2014-12-01,103.6345
2015-01-01,102.8239
2015-02-01,102.1513
2015-03-01,101.8240
2015-04-01,101.2440
2015-05-01,100.7830
2015-06-01,100.4781
2015-07-01,101.1052
2015-08-01,100.9442
2015-09-01,100.6507
2015-10-01,100.1871
2015-11-01,99.4382
2015-12-01,98.9390
2016-01-01,99.4558
2016-02-01,98.9136
2016-03-01,98.1907
2016-04-01,98.4669
2016-05-01,98.2518
2016-06-01,98.7275
2016-07-01,98.8360
2016-08-01,98.7554
2016-09-01,98.6596
2016-10-01,98.7322
2016-11-01,98.3452
2016-12-01,99.0314
2017-01-01,98.7987
2017-02-01,98.4322
2017-03-01,99.0663
2017-04-01,100.0082
2017-05-01,100.1286
2017-06-01,100.3233
2017-07-01,100.0947
2017-08-01,99.6642
2017-09-01,99.7686
2017-10-01,100.9981
2017-11-01,101.2597
2017-12-01,101.4573
2018-01-01,101.3939
2018-02-01,101.7656
2018-03-01,102.2441
2018-04-01,103.3468
2018-05-01,102.3911
2018-06-01,103.1924
2018-07-01,103.3334
2018-08-01,104.0807
2018-09-01,104.1181
2018-10-01,103.9397
2018-11-01,104.0007
2018-12-01,103.9946
2019-01-01,103.3730
2019-02-01,102.8292
2019-03-01,102.8286
2019-04-01,102.2481
2019-05-01,102.4192
2019-06-01,102.4893
2019-07-01,102.0236
2019-08-01,102.7754
2019-09-01,102.5315
2019-10-01,101.6022
2019-11-01,102.1480
2019-12-01,101.8840
2020-01-01,101.3768
2020-02-01,101.6330
2020-03-01,97.6672
2020-04-01,84.5979
2020-05-01,85.9732
2020-06-01,91.5625
2020-07-01,95.0144
2020-08-01,95.8881
2020-09-01,95.8444
2020-10-01,96.4292
2020-11-01,96.8564
2020-12-01,97.9754
2021-01-01,98.7836
2021-02-01,95.3744
2021-03-01,98.1351
2021-04-01,98.2886
2021-05-01,99.1508
2021-06-01,99.5096
2021-07-01,100.1231
2021-08-01,100.1255
2021-09-01,99.0614
2021-10-01,100.3045
2021-11-01,101.1971
2021-12-01,100.8860
2022-01-01,101.0227
2022-02-01,101.6766
2022-03-01,102.4780
2022-04-01,102.7953
2022-05-01,102.7769
2022-06-01,102.6863
2022-07-01,103.1328
2022-08-01,103.2344
2022-09-01,103.5283
2022-10-01,103.4114
2022-11-01,103.0707
2022-12-01,101.4848
2023-01-01,102.5478
2023-02-01,102.5671
2023-03-01,102.6592
2023-04-01,103.1512
2023-05-01,102.9240
2023-06-01,102.3002
2023-07-01,103.1900
2023-08-01,103.1141
2023-09-01,103.2096
2023-10-01,102.3722
2023-11-01,102.671
2023-12-01,102.6715
2024-01-01,102.5739
